model forecast and observations from station:mtic1
station latitude:34.4614
station longitude:-119.649
model latitude:34.4572
model longitude:-119.6543
model, , , , , , , , , ,obs, , , , , , , , ,
year,month,day,hour,min,sec,model temperature,model rel hum,model wind speed,model wind direction,year,month,day,hour,min,sec,obs temperature,obs rel hum,obs wind speed,obs wind direction
yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N,yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N
2022,5,25,0,0,0,21.634,61.114,1.9209,241.44,2022,5,25,0,0,0,NaN,NaN,NaN,NaN
2022,5,25,1,0,0,20.838,63.343,1.3347,237.11,2022,5,25,0,47,0,23.889,54,0.448,274
2022,5,25,2,0,0,20.114,66.048,0.52874,213.18,2022,5,25,1,47,0,21.667,59,0.448,296
2022,5,25,3,0,0,18.379,69.698,0.69228,259.7,2022,5,25,2,47,0,20,66,0.448,230
2022,5,25,4,0,0,18.053,67.899,0.78121,271.46,2022,5,25,3,47,0,17.778,71,0.895,21
2022,5,25,5,0,0,14.67,92.998,1.035,109.09,2022,5,25,4,47,0,19.444,62,0.895,140
2022,5,25,6,0,0,14.02,97.957,1.3444,114.83,2022,5,25,5,47,0,17.222,74,1.79,132
2022,5,25,7,0,0,13.066,97.795,1.4217,127.05,2022,5,25,6,47,0,16.111,79,0.448,22
2022,5,25,8,0,0,12.999,98.32,1.8079,116.36,2022,5,25,7,47,0,15.556,82,0.895,155
2022,5,25,9,0,0,12.825,98.582,2.124,110.69,2022,5,25,8,47,0,11.111,97,0.895,147
2022,5,25,10,0,0,12.975,98.853,2.1862,112.87,2022,5,25,9,47,0,10.556,100,0.895,24
2022,5,25,11,0,0,12.692,99.016,2.0771,111.05,2022,5,25,10,47,0,14.444,87,0.895,66
2022,5,25,12,0,0,12.451,99.182,2.121,108.62,2022,5,25,11,47,0,17.778,68,0,NaN
2022,5,25,13,0,0,12.475,99.202,2.1133,105.67,2022,5,25,12,47,0,15.556,78,1.343,11
2022,5,25,14,0,0,13.573,95.439,1.803,102.56,2022,5,25,13,47,0,17.778,59,0.895,344
2022,5,25,15,0,0,16.764,81.398,0.97345,116.26,2022,5,25,14,47,0,20,60,0.448,90
2022,5,25,16,0,0,19.202,71.031,1.2013,137.58,2022,5,25,15,47,0,20,62,1.79,79
2022,5,25,17,0,0,20.287,66.224,1.3089,167.38,2022,5,25,16,47,0,22.222,54,0.448,172
2022,5,25,18,0,0,20.644,64.778,1.3999,181.41,2022,5,25,17,47,0,20,73,0.895,219
2022,5,25,19,0,0,19.889,69.234,1.6028,178.68,2022,5,25,18,47,0,21.111,68,0.895,180
2022,5,25,20,0,0,19.705,70.655,1.7425,179.86,2022,5,25,19,47,0,22.222,60,1.343,185
2022,5,25,21,0,0,19.342,71.543,1.6761,179.59,2022,5,25,20,47,0,20.556,67,1.79,188
2022,5,25,22,0,0,19.598,71.279,1.6222,192.83,2022,5,25,21,47,0,19.444,69,2.68,189
2022,5,25,23,0,0,19.656,71.83,1.4352,204.52,2022,5,25,22,47,0,20.556,68,1.343,189
2022,5,26,0,0,0,18.727,77.841,1.025,206.48,2022,5,25,23,47,0,19.444,71,1.79,187
2022,5,26,1,0,0,18.04,82.514,0.82284,193.4,2022,5,26,0,47,0,19.444,69,1.343,194
2022,5,26,2,0,0,16.859,88.149,0.62875,157.72,2022,5,26,1,47,0,21.667,61,0.895,220
2022,5,26,3,0,0,14.836,99.9,0.93224,111.19,2022,5,26,2,47,0,18.889,71,0.895,355
2022,5,26,4,0,0,14.923,97.861,1.1287,114.5,2022,5,26,3,47,0,13.333,98,0.448,243
2022,5,26,5,0,0,14.711,97.805,1.3505,110.65,2022,5,26,4,47,0,13.333,100,0.448,235
2022,5,26,6,0,0,14.304,96.869,1.3158,99.886,2022,5,26,5,47,0,13.333,100,0.448,182
2022,5,26,7,0,0,13.9,98.174,1.428,105.48,2022,5,26,6,47,0,12.778,100,0,NaN
2022,5,26,8,0,0,13.938,98.24,1.4238,108.09,2022,5,26,7,47,0,12.778,100,0,NaN
2022,5,26,9,0,0,13.874,98.244,1.1517,105.47,2022,5,26,8,47,0,12.778,100,0,NaN
2022,5,26,10,0,0,13.647,98.705,1.0239,110.33,2022,5,26,9,47,0,12.778,100,0.448,211
2022,5,26,11,0,0,12.77,99.9,0.93679,105.4,2022,5,26,10,47,0,12.222,100,0.448,111
2022,5,26,12,0,0,13.691,97.403,0.94944,107.96,2022,5,26,11,47,0,12.222,100,0,NaN
2022,5,26,13,0,0,13.553,98.989,0.92642,107.44,2022,5,26,12,47,0,12.222,100,0,NaN
2022,5,26,14,0,0,13.891,97.614,0.85147,136.21,2022,5,26,13,47,0,12.222,100,0.895,61
2022,5,26,15,0,0,14.106,96.37,0.89181,155.47,2022,5,26,14,47,0,12.778,100,0,NaN
2022,5,26,16,0,0,14.021,96.096,0.87799,167.05,2022,5,26,15,47,0,13.333,100,1.343,193
2022,5,26,17,0,0,14.219,95.343,1.1294,150.39,2022,5,26,16,47,0,13.333,100,1.343,184
2022,5,26,18,0,0,14.455,95.059,1.3393,149.76,2022,5,26,17,47,0,13.333,100,1.343,197
2022,5,26,19,0,0,14.36,94.805,1.4198,153.94,2022,5,26,18,47,0,13.889,100,1.343,178
2022,5,26,20,0,0,14.551,94.514,1.4212,156.77,2022,5,26,19,47,0,13.889,100,1.79,200
2022,5,26,21,0,0,14.751,93.897,1.4778,160.36,2022,5,26,20,47,0,14.444,100,1.343,206
2022,5,26,22,0,0,14.839,93.8,1.2215,168.12,2022,5,26,21,47,0,15,100,1.343,175
2022,5,26,23,0,0,14.711,94.54,1.0425,172.16,2022,5,26,22,47,0,15,99,1.79,199
2022,5,27,0,0,0,14.73,95.837,0.8638,167.81,2022,5,26,23,47,0,15,94,1.343,181
2022,5,27,1,0,0,14.661,96.844,0.80876,157.82,2022,5,27,0,47,0,13.889,97,1.343,200
2022,5,27,2,0,0,14.136,98.101,0.53199,188.62,2022,5,27,1,47,0,12.778,99,1.343,177
2022,5,27,3,0,0,14.167,96.322,0.38455,137.35,2022,5,27,2,47,0,12.222,99,1.343,189
2022,5,27,4,0,0,13.782,99.055,0.49247,155.79,2022,5,27,3,47,0,11.667,100,0.895,205
2022,5,27,5,0,0,13.669,98.848,0.81727,129.23,2022,5,27,4,47,0,12.222,100,0.448,171
2022,5,27,6,0,0,13.394,98.903,0.45082,133.55,2022,5,27,5,47,0,12.222,100,0.895,114
2022,5,27,7,0,0,13.371,98.919,0.7636,112.58,2022,5,27,6,47,0,12.222,100,0,NaN
2022,5,27,8,0,0,12.843,98.989,0.23063,101.57,2022,5,27,7,47,0,11.667,100,0.448,194
2022,5,27,9,0,0,12.544,99.01,0.013127,173.41,2022,5,27,8,47,0,11.667,100,1.343,159
