model forecast and observations from station:mtic1
station latitude:34.4614
station longitude:-119.649
model latitude:34.4572
model longitude:-119.6543
model, , , , , , , , , ,obs, , , , , , , , ,
year,month,day,hour,min,sec,model temperature,model rel hum,model wind speed,model wind direction,year,month,day,hour,min,sec,obs temperature,obs rel hum,obs wind speed,obs wind direction
yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N,yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N
2022,5,9,0,0,0,21.122,38.339,2.9321,295.26,2022,5,9,0,0,0,NaN,NaN,NaN,NaN
2022,5,9,1,0,0,20.181,35.271,7.5817,332.36,2022,5,9,0,47,0,17.778,37,7.151,319
2022,5,9,2,0,0,17.309,41.546,10.789,345.52,2022,5,9,1,47,0,15.556,43,5.813,245
2022,5,9,3,0,0,15.406,47.454,10.956,351.63,2022,5,9,2,47,0,12.222,52,4.918,225
2022,5,9,4,0,0,15.295,46.227,8.8463,356.94,2022,5,9,3,47,0,12.222,47,3.575,0
2022,5,9,5,0,0,13.629,47.774,3.3652,355.8,2022,5,9,4,47,0,13.333,37,3.575,355
2022,5,9,6,0,0,11.397,47.347,2.388,340.27,2022,5,9,5,47,0,11.667,42,3.128,295
2022,5,9,7,0,0,11.477,31.975,3.7662,357.57,2022,5,9,6,47,0,11.667,36,3.128,19
2022,5,9,8,0,0,10.905,33.287,5.9454,11.158,2022,5,9,7,47,0,11.111,36,4.918,3
2022,5,9,9,0,0,10.109,39.196,7.9151,21.109,2022,5,9,8,47,0,10.556,32,6.703,352
2022,5,9,10,0,0,9.6395,41.337,9.2627,25.839,2022,5,9,9,47,0,10.556,32,16.539,18
2022,5,9,11,0,0,9.3607,42.938,9.6409,25.216,2022,5,9,10,47,0,9.444,35,15.644,17
2022,5,9,12,0,0,8.938,44.923,9.4337,24.1,2022,5,9,11,47,0,9.444,37,17.882,18
2022,5,9,13,0,0,8.7283,45.547,9.4428,25.941,2022,5,9,12,47,0,8.889,38,16.539,11
2022,5,9,14,0,0,9.5275,42.516,8.6711,24.35,2022,5,9,13,47,0,9.444,33,10.284,7
2022,5,9,15,0,0,11.672,34.445,6.8545,24.974,2022,5,9,14,47,0,10.556,34,9.836,11
2022,5,9,16,0,0,14.135,28.135,4.4186,29.552,2022,5,9,15,47,0,12.778,30,4.471,8
2022,5,9,17,0,0,15.281,28.672,2.7052,149.12,2022,5,9,16,47,0,14.444,36,3.128,204
