model forecast and observations from station:mtic1
station latitude:34.4614
station longitude:-119.649
model latitude:34.4572
model longitude:-119.6543
model, , , , , , , , , ,obs, , , , , , , , ,
year,month,day,hour,min,sec,model temperature,model rel hum,model wind speed,model wind direction,year,month,day,hour,min,sec,obs temperature,obs rel hum,obs wind speed,obs wind direction
yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N,yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N
2022,9,20,0,0,0,19.464,81.768,2.0534,192.16,2022,9,20,0,0,0,NaN,NaN,NaN,NaN
2022,9,20,1,0,0,19.488,84.925,1.5265,233.13,2022,9,20,0,47,0,21.111,65,2.233,207
2022,9,20,2,0,0,18.696,92.279,1.5788,257.54,2022,9,20,1,47,0,18.333,81,2.233,199
2022,9,20,3,0,0,18.705,89.589,0.8432,270.25,2022,9,20,2,47,0,16.667,88,1.343,219
2022,9,20,4,0,0,17.714,96.998,1.6039,271.08,2022,9,20,3,47,0,16.111,96,0.895,352
2022,9,20,5,0,0,17.194,96.072,1.4874,273.02,2022,9,20,4,47,0,16.667,90,0.895,9
2022,9,20,6,0,0,16.275,97.69,1.5277,267.63,2022,9,20,5,47,0,16.111,88,0.448,117
2022,9,20,7,0,0,16.683,89.34,0.60679,313.13,2022,9,20,6,47,0,16.667,80,1.343,19
2022,9,20,8,0,0,16.664,87.913,0.34715,36.423,2022,9,20,7,47,0,16.111,87,1.79,160
2022,9,20,9,0,0,16.409,89.889,0.59211,303.98,2022,9,20,8,47,0,16.111,89,0.895,172
2022,9,20,10,0,0,16.662,86.412,0.59433,41.724,2022,9,20,9,47,0,16.111,91,0,NaN
2022,9,20,11,0,0,16.421,88.59,0.27346,118.47,2022,9,20,10,47,0,16.111,89,0,NaN
2022,9,20,12,0,0,16.409,88.077,0.75755,58.823,2022,9,20,11,47,0,16.111,90,0,NaN
2022,9,20,13,0,0,16.456,87.535,1.0117,59.874,2022,9,20,12,47,0,16.111,92,0,NaN
2022,9,20,14,0,0,15.933,94.215,1.3157,87.628,2022,9,20,13,47,0,16.111,93,0.895,103
2022,9,20,15,0,0,16.958,92.164,1.2488,145.52,2022,9,20,14,47,0,16.111,93,0,NaN
2022,9,20,16,0,0,17.152,93.753,1.4212,137.2,2022,9,20,15,47,0,16.667,96,0.448,198
