model forecast and observations from station:mtic1
station latitude:34.4614
station longitude:-119.649
model latitude:34.4572
model longitude:-119.6543
model, , , , , , , , , ,obs, , , , , , , , ,
year,month,day,hour,min,sec,model temperature,model rel hum,model wind speed,model wind direction,year,month,day,hour,min,sec,obs temperature,obs rel hum,obs wind speed,obs wind direction
yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N,yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N
2022,3,26,0,0,0,21.559,49.515,1.6506,198.2,2022,3,26,0,0,0,NaN,NaN,NaN,NaN
2022,3,26,1,0,0,20.924,55.865,0.96152,237.05,2022,3,26,0,47,0,23.889,49,0,NaN
2022,3,26,2,0,0,18.51,67.079,0.56915,232.33,2022,3,26,1,47,0,21.111,50,0.448,201
2022,3,26,3,0,0,18.635,58.8,0.60407,301.69,2022,3,26,2,47,0,20.556,41,1.343,250
2022,3,26,4,0,0,16.975,65.756,0.50874,300.22,2022,3,26,3,47,0,20.556,25,2.233,322
2022,3,26,5,0,0,16.94,59.965,0.66505,311,2022,3,26,4,47,0,20,27,0.895,246
2022,3,26,6,0,0,15.955,64.627,0.0089225,16.518,2022,3,26,5,47,0,20,25,0.448,306
2022,3,26,7,0,0,15.892,61.898,0.80164,81.245,2022,3,26,6,47,0,20,27,0.895,182
2022,3,26,8,0,0,17.313,45.718,0.63903,57.017,2022,3,26,7,47,0,18.333,30,0.448,189
2022,3,26,9,0,0,12.693,78.307,2.2969,91.02,2022,3,26,8,47,0,18.889,31,0.895,155
2022,3,26,10,0,0,13.533,71.714,2.1221,81.343,2022,3,26,9,47,0,17.778,33,0.448,58
2022,3,26,11,0,0,16.184,56.55,0.98288,45.909,2022,3,26,10,47,0,16.667,32,0.895,1
2022,3,26,12,0,0,14.617,63.914,0.4889,116.4,2022,3,26,11,47,0,17.778,30,0.895,185
2022,3,26,13,0,0,12.633,75.756,0.87754,86.049,2022,3,26,12,47,0,16.111,34,0.448,271
2022,3,26,14,0,0,12.852,72.019,0.39211,69.529,2022,3,26,13,47,0,16.667,34,0,NaN
2022,3,26,15,0,0,14.693,64.592,0.29844,80.636,2022,3,26,14,47,0,17.222,33,1.343,349
2022,3,26,16,0,0,14.732,73.328,0.8346,138.64,2022,3,26,15,47,0,18.889,40,0.895,132
2022,3,26,17,0,0,15.651,73.676,1.2105,150.8,2022,3,26,16,47,0,21.111,43,0.448,202
2022,3,26,18,0,0,15.614,76.201,1.5233,155.46,2022,3,26,17,47,0,21.111,45,0,NaN
2022,3,26,19,0,0,16.355,75.132,1.5794,163.88,2022,3,26,18,47,0,18.333,63,1.343,191
2022,3,26,20,0,0,17.026,73.379,1.601,164.14,2022,3,26,19,47,0,18.333,63,1.343,199
2022,3,26,21,0,0,16.791,75.12,1.6427,174.25,2022,3,26,20,47,0,19.444,59,2.233,191
2022,3,26,22,0,0,16.392,75.476,1.4767,178.15,2022,3,26,21,47,0,18.889,60,2.68,200
2022,3,26,23,0,0,16.799,71.844,1.3317,165.34,2022,3,26,22,47,0,18.889,61,1.79,183
2022,3,27,0,0,0,16.582,71.297,1.1209,157.8,2022,3,26,23,47,0,18.333,63,0.895,188
2022,3,27,1,0,0,15.422,75.992,0.89873,154.39,2022,3,27,0,47,0,17.222,67,0.448,326
2022,3,27,2,0,0,13.561,82.246,0.65626,120.93,2022,3,27,1,47,0,15,74,0.895,8
2022,3,27,3,0,0,11.762,91.821,0.37347,120.02,2022,3,27,2,47,0,16.111,41,0.448,1
2022,3,27,4,0,0,11.386,96.953,0.4573,133.38,2022,3,27,3,47,0,17.778,27,2.233,79
2022,3,27,5,0,0,10.794,99.9,0.93115,106.04,2022,3,27,4,47,0,16.111,34,0.448,139
2022,3,27,6,0,0,11.007,98.875,1.0808,107.53,2022,3,27,5,47,0,13.333,47,0.895,90
2022,3,27,7,0,0,11.205,98.3,0.91317,106.82,2022,3,27,6,47,0,8.333,98,1.343,97
2022,3,27,8,0,0,10.773,98.398,1.1813,112.16,2022,3,27,7,47,0,8.333,99,0.895,51
2022,3,27,9,0,0,10.596,98.282,1.6057,104.94,2022,3,27,8,47,0,8.333,100,1.79,77
2022,3,27,10,0,0,10.37,98.224,1.845,115.25,2022,3,27,9,47,0,8.333,100,1.79,94
2022,3,27,11,0,0,9.9922,98.222,1.89,116.32,2022,3,27,10,47,0,8.333,100,0.895,117
2022,3,27,12,0,0,9.9733,98.22,2.087,116.7,2022,3,27,11,47,0,8.333,100,2.233,132
2022,3,27,13,0,0,9.9771,98.241,2.5132,102.67,2022,3,27,12,47,0,8.333,100,1.343,41
2022,3,27,14,0,0,10.037,98.42,1.9837,130.63,2022,3,27,13,47,0,8.333,100,2.233,58
2022,3,27,15,0,0,10.054,98.015,2.9456,146.46,2022,3,27,14,47,0,8.333,99,4.023,75
2022,3,27,16,0,0,10.343,97.549,3.3662,131.4,2022,3,27,15,47,0,9.444,86,4.471,100
2022,3,27,17,0,0,10.366,96.762,3.4672,128.27,2022,3,27,16,47,0,10,88,0.895,207
2022,3,27,18,0,0,10.592,96.003,3.4022,135.16,2022,3,27,17,47,0,11.111,84,1.79,215
2022,3,27,19,0,0,10.843,94.443,3.2882,144.99,2022,3,27,18,47,0,10.556,92,2.68,177
2022,3,27,20,0,0,10.837,95.675,2.9182,138.62,2022,3,27,19,47,0,10.556,89,2.233,156
2022,3,27,21,0,0,10.962,95.153,2.8237,136.6,2022,3,27,20,47,0,10.556,92,2.233,191
2022,3,27,22,0,0,10.792,93.632,3.0843,139.87,2022,3,27,21,47,0,10,97,2.68,180
2022,3,27,23,0,0,10.645,93.622,3.2333,137.04,2022,3,27,22,47,0,9.444,99,2.68,176
2022,3,28,0,0,0,10.399,93.985,3.2917,137.81,2022,3,27,23,47,0,9.444,99,0.895,96
2022,3,28,1,0,0,10.131,96.283,3.3175,138.2,2022,3,28,0,47,0,8.889,100,0.895,201
2022,3,28,2,0,0,9.9347,96.828,3.5427,136.34,2022,3,28,1,47,0,8.889,100,2.233,149
2022,3,28,3,0,0,9.8593,94.82,3.6046,130.28,2022,3,28,2,47,0,8.889,100,1.79,136
2022,3,28,4,0,0,9.8108,94.524,3.6997,129,2022,3,28,3,47,0,8.889,100,2.68,181
2022,3,28,5,0,0,9.8655,87.282,4.0452,105.59,2022,3,28,4,47,0,8.333,100,1.79,185
2022,3,28,6,0,0,10.053,88.609,3.7604,119.09,2022,3,28,5,47,0,8.333,100,2.68,194
2022,3,28,7,0,0,9.9347,94.761,3.6213,132.04,2022,3,28,6,47,0,8.333,100,3.128,125
