model forecast and observations from station:mtic1
station latitude:34.4614
station longitude:-119.649
model latitude:34.4572
model longitude:-119.6543
model, , , , , , , , , ,obs, , , , , , , , ,
year,month,day,hour,min,sec,model temperature,model rel hum,model wind speed,model wind direction,year,month,day,hour,min,sec,obs temperature,obs rel hum,obs wind speed,obs wind direction
yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N,yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N
2022,8,19,0,0,0,24.531,58.086,2.1148,243.34,2022,8,19,0,0,0,NaN,NaN,NaN,NaN
2022,8,19,1,0,0,22.743,64.678,1.2827,202.68,2022,8,19,0,47,0,23.889,52,0.448,252
2022,8,19,2,0,0,23.908,53.353,0.84936,291.74,2022,8,19,1,47,0,25,46,0.895,204
2022,8,19,3,0,0,25.518,43.859,1.7317,326.31,2022,8,19,2,47,0,25,37,2.68,251
2022,8,19,4,0,0,26.845,36.91,1.7823,333.35,2022,8,19,3,47,0,28.889,26,4.471,283
2022,8,19,5,0,0,24.487,43.782,0.99149,343.58,2022,8,19,4,47,0,24.444,35,2.233,170
2022,8,19,6,0,0,25.051,41.054,1.3093,4.6215,2022,8,19,5,47,0,23.889,41,2.68,115
2022,8,19,7,0,0,23.105,49.287,0.74436,10.829,2022,8,19,6,47,0,23.333,43,1.343,161
2022,8,19,8,0,0,22.621,52.753,1.7156,58.211,2022,8,19,7,47,0,23.889,42,1.79,84
2022,8,19,9,0,0,22.984,48.279,1.7888,34.119,2022,8,19,8,47,0,21.111,51,1.79,101
2022,8,19,10,0,0,23.328,45.446,2.4691,40.858,2022,8,19,9,47,0,21.667,46,1.79,59
2022,8,19,11,0,0,20.565,58.83,1.8923,77.842,2022,8,19,10,47,0,22.778,39,0.895,119
2022,8,19,12,0,0,20.289,58.343,2.1469,76.963,2022,8,19,11,47,0,22.778,37,1.343,132
2022,8,19,13,0,0,20.707,54.311,2.2295,65.891,2022,8,19,12,47,0,21.111,39,0.448,67
2022,8,19,14,0,0,22.173,50.895,1.9798,54.595,2022,8,19,13,47,0,21.667,36,1.343,88
2022,8,19,15,0,0,24.704,43.751,1.219,59.662,2022,8,19,14,47,0,22.222,41,0.448,149
2022,8,19,16,0,0,23.626,51.129,0.91383,112.62,2022,8,19,15,47,0,25,34,0.448,16
2022,8,19,17,0,0,23.283,56.182,0.92141,158.24,2022,8,19,16,47,0,26.667,39,0.448,140
2022,8,19,18,0,0,23.479,62.72,1.375,154.97,2022,8,19,17,47,0,27.222,42,0.895,180
2022,8,19,19,0,0,24.337,62.162,1.5713,155.11,2022,8,19,18,47,0,25,50,1.343,174
2022,8,19,20,0,0,26.213,52.493,1.4945,173.81,2022,8,19,19,47,0,26.667,44,0.895,198
2022,8,19,21,0,0,26.327,52.126,1.5225,175.36,2022,8,19,20,47,0,25.556,47,1.79,180
2022,8,19,22,0,0,26.292,52.831,1.4415,171.71,2022,8,19,21,47,0,26.111,46,1.343,190
2022,8,19,23,0,0,26.11,55.115,1.1624,170.76,2022,8,19,22,47,0,25.556,47,0.895,176
2022,8,20,0,0,0,26.804,48.745,0.82079,217.27,2022,8,19,23,47,0,27.222,43,1.343,190
2022,8,20,1,0,0,29.391,34.203,1.5608,302.5,2022,8,20,0,47,0,27.778,40,0.895,181
2022,8,20,2,0,0,29.241,30.567,2.3282,335.48,2022,8,20,1,47,0,26.111,45,0.448,92
2022,8,20,3,0,0,29.515,23.897,2.2234,348.94,2022,8,20,2,47,0,23.889,50,0.448,137
2022,8,20,4,0,0,30.259,19.541,3.1087,357.43,2022,8,20,3,47,0,23.333,51,0,NaN
2022,8,20,5,0,0,32.798,15.651,4.7783,11.234,2022,8,20,4,47,0,22.778,51,0.895,347
2022,8,20,6,0,0,32.733,15.764,5.1295,16.826,2022,8,20,5,47,0,22.778,40,1.343,107
2022,8,20,7,0,0,32.227,16.757,5.223,22.202,2022,8,20,6,47,0,20.556,45,4.023,94
2022,8,20,8,0,0,25.789,33.413,1.6942,44.712,2022,8,20,7,47,0,19.444,50,1.79,43
2022,8,20,9,0,0,19.185,70.727,2.9173,106.14,2022,8,20,8,47,0,20,46,0,NaN
2022,8,20,10,0,0,18.264,76.884,3.5351,101.32,2022,8,20,9,47,0,17.778,56,0,NaN
2022,8,20,11,0,0,16.387,94.417,1.788,107.39,2022,8,20,10,47,0,21.667,41,0.895,101
2022,8,20,12,0,0,17.2,85.347,1.8891,98.228,2022,8,20,11,47,0,19.444,49,0.895,150
2022,8,20,13,0,0,18.148,79.247,1.4171,103.71,2022,8,20,12,47,0,19.444,48,0.895,101
2022,8,20,14,0,0,17.918,86.369,0.91536,108.1,2022,8,20,13,47,0,15.556,83,0.448,17
2022,8,20,15,0,0,20.106,76.836,0.79496,121.38,2022,8,20,14,47,0,15,96,0.895,81
2022,8,20,16,0,0,21.82,73.519,1.0158,167.79,2022,8,20,15,47,0,18.333,83,0.895,183
2022,8,20,17,0,0,20.707,83.482,1.9565,137.54,2022,8,20,16,47,0,19.444,81,1.343,184
2022,8,20,18,0,0,20.068,91.108,1.7429,129.78,2022,8,20,17,47,0,18.333,86,3.128,179
2022,8,20,19,0,0,20.994,85.869,1.9905,132.5,2022,8,20,18,47,0,21.667,74,1.79,199
2022,8,20,20,0,0,21.902,80.507,1.8462,141.24,2022,8,20,19,47,0,22.222,68,2.68,195
2022,8,20,21,0,0,23.047,74.907,1.8595,146.14,2022,8,20,20,47,0,22.778,68,3.128,185
2022,8,20,22,0,0,23.436,73.598,1.6545,157.79,2022,8,20,21,47,0,23.333,65,2.68,189
2022,8,20,23,0,0,24.181,70.363,1.4556,168.24,2022,8,20,22,47,0,23.889,64,2.68,201
2022,8,21,0,0,0,24.131,69.738,1.256,171.86,2022,8,20,23,47,0,23.889,63,2.68,197
2022,8,21,1,0,0,23.279,72.28,0.98431,170.03,2022,8,21,0,47,0,23.333,66,1.79,198
2022,8,21,2,0,0,21.851,77.234,0.72601,129.8,2022,8,21,1,47,0,20.556,76,1.79,212
2022,8,21,3,0,0,19.511,86.004,0.7286,110.14,2022,8,21,2,47,0,17.778,88,0.448,223
2022,8,21,4,0,0,18.346,94.992,1.023,104.81,2022,8,21,3,47,0,16.667,93,0.895,127
2022,8,21,5,0,0,17.357,99.9,1.2934,105.81,2022,8,21,4,47,0,16.111,97,1.79,71
2022,8,21,6,0,0,17.18,98.572,1.1164,103.59,2022,8,21,5,47,0,15.556,98,0.448,23
2022,8,21,7,0,0,16.871,99.9,1.0237,107.47,2022,8,21,6,47,0,17.778,86,0.448,229
2022,8,21,8,0,0,17.727,97.76,1.3226,96.965,2022,8,21,7,47,0,18.333,83,1.343,93
2022,8,21,9,0,0,17.527,97.877,1.4085,103.25,2022,8,21,8,47,0,17.778,84,0.448,39
2022,8,21,10,0,0,17.175,97.157,1.33,100.83,2022,8,21,9,47,0,15,99,1.343,95
2022,8,21,11,0,0,16.861,98.735,1.4251,95.291,2022,8,21,10,47,0,15,100,1.343,49
2022,8,21,12,0,0,17.274,97.107,1.4059,92.657,2022,8,21,11,47,0,15,100,0.895,21
2022,8,21,13,0,0,17.19,97.524,1.577,88.743,2022,8,21,12,47,0,15.556,100,1.343,57
2022,8,21,14,0,0,18.222,89.949,1.7599,92.159,2022,8,21,13,47,0,15.556,100,0,NaN
2022,8,21,15,0,0,18.99,88.173,1.5533,115.64,2022,8,21,14,47,0,15.556,100,1.343,85
2022,8,21,16,0,0,19.262,88.986,1.7213,130.6,2022,8,21,15,47,0,16.667,100,0.448,108
2022,8,21,17,0,0,19.592,87.843,1.7699,130.66,2022,8,21,16,47,0,16.667,100,1.343,190
2022,8,21,18,0,0,20.882,81.931,1.9022,133.72,2022,8,21,17,47,0,17.222,100,1.79,204
2022,8,21,19,0,0,21.699,78.25,1.719,143.69,2022,8,21,18,47,0,17.778,90,2.233,191
2022,8,21,20,0,0,22.963,73.103,1.7699,151.4,2022,8,21,19,47,0,20,83,2.68,199
2022,8,21,21,0,0,23.695,69.475,1.9478,159.17,2022,8,21,20,47,0,23.333,67,2.233,208
2022,8,21,22,0,0,23.564,69.012,1.7939,161.53,0,0,0,0,0,0,NaN,NaN,NaN,NaN
2022,8,21,23,0,0,23.277,70.249,1.5745,170.17,2022,8,21,22,47,0,23.333,64,3.128,203
2022,8,22,0,0,0,22.872,71.329,1.4657,180.44,2022,8,21,23,47,0,22.778,68,2.68,198
2022,8,22,1,0,0,21.417,75.849,0.95715,195.8,0,0,0,0,0,0,NaN,NaN,NaN,NaN
2022,8,22,2,0,0,19.92,82.045,0.37679,166.92,0,0,0,0,0,0,NaN,NaN,NaN,NaN
2022,8,22,3,0,0,17.785,94.475,0.37785,94.194,0,0,0,0,0,0,NaN,NaN,NaN,NaN
2022,8,22,4,0,0,18.194,89.979,0.29926,127.52,0,0,0,0,0,0,NaN,NaN,NaN,NaN
