model forecast and observations from station:mtic1
station latitude:34.4614
station longitude:-119.649
model latitude:34.4572
model longitude:-119.6543
model, , , , , , , , , ,obs, , , , , , , , ,
year,month,day,hour,min,sec,model temperature,model rel hum,model wind speed,model wind direction,year,month,day,hour,min,sec,obs temperature,obs rel hum,obs wind speed,obs wind direction
yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N,yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N
2022,3,21,0,0,0,18.902,42.376,3.1484,3.3062,2022,3,21,0,0,0,NaN,NaN,NaN,NaN
2022,3,21,1,0,0,19.811,26.234,2.409,338.01,2022,3,21,0,47,0,17.778,23,7.598,351
2022,3,21,2,0,0,17.54,31.63,2.941,355.5,2022,3,21,1,47,0,17.222,25,3.128,348
2022,3,21,3,0,0,15.71,41.666,1.2429,38.754,2022,3,21,2,47,0,15,40,2.233,78
2022,3,21,4,0,0,14.4,46.406,1.7302,330.82,2022,3,21,3,47,0,15,30,8.046,354
2022,3,21,5,0,0,15.616,32.489,5.5924,356.76,2022,3,21,4,47,0,15,31,8.046,346
2022,3,21,6,0,0,15.439,30.972,7.1108,6.8082,2022,3,21,5,47,0,15,28,6.703,334
2022,3,21,7,0,0,15.541,29.453,10.157,15.202,2022,3,21,6,47,0,14.444,25,3.575,342
2022,3,21,8,0,0,15.793,28.24,10.523,18.817,2022,3,21,7,47,0,15,23,7.151,4
2022,3,21,9,0,0,15.919,28.666,10.394,20.338,2022,3,21,8,47,0,15,21,14.754,16
2022,3,21,10,0,0,15.893,29.335,9.8911,23.13,2022,3,21,9,47,0,15.556,19,14.307,18
2022,3,21,11,0,0,15.773,30.603,9.1519,24.8,2022,3,21,10,47,0,15.556,20,11.621,15
2022,3,21,12,0,0,15.858,29.635,8.6432,22.736,2022,3,21,11,47,0,15.556,22,21.905,14
2022,3,21,13,0,0,16.056,28.308,8.486,19.144,2022,3,21,12,47,0,15.556,20,19.667,15
2022,3,21,14,0,0,16.164,27.235,7.9354,13.022,2022,3,21,13,47,0,15,21,16.539,13
2022,3,21,15,0,0,16.792,25.773,7.2089,9.1171,2022,3,21,14,47,0,15.556,21,13.859,4
2022,3,21,16,0,0,18.503,23.431,6.6767,15.279,2022,3,21,15,47,0,15.556,23,13.412,344
2022,3,21,17,0,0,20.821,20.258,5.1425,15.823,2022,3,21,16,47,0,17.222,22,11.621,9
2022,3,21,18,0,0,22.518,19.415,1.8868,31.072,2022,3,21,17,47,0,18.333,20,13.412,356
2022,3,21,19,0,0,21.926,23.9,0.7177,68.2,2022,3,21,18,47,0,20.556,19,4.918,355
2022,3,21,20,0,0,22.786,23.123,0.28027,215.52,2022,3,21,19,47,0,21.667,17,8.493,3
2022,3,21,21,0,0,23.02,26.149,1.5378,203.24,2022,3,21,20,47,0,23.333,16,4.023,29
2022,3,21,22,0,0,22.827,23.579,0.95997,187.42,2022,3,21,21,47,0,25,22,4.918,198
2022,3,21,23,0,0,25.299,18.844,1.6357,6.7085,2022,3,21,22,47,0,25.556,23,3.128,195
2022,3,22,0,0,0,24.777,18.215,4.1055,8.002,2022,3,21,23,47,0,23.889,25,3.575,173
2022,3,22,1,0,0,23.23,19.466,5.0834,3.9439,2022,3,22,0,47,0,23.333,16,5.813,356
2022,3,22,2,0,0,21.377,20.214,7.8081,7.321,2022,3,22,1,47,0,22.222,18,12.964,22
2022,3,22,3,0,0,20.707,21.157,6.6972,9.5314,2022,3,22,2,47,0,20.556,19,8.493,353
2022,3,22,4,0,0,18.716,26.381,2.0607,24.264,2022,3,22,3,47,0,20.556,21,8.046,17
2022,3,22,5,0,0,20.295,24.137,9.2131,29.139,2022,3,22,4,47,0,19.444,22,13.412,22
