model forecast and observations from station:mtic1
station latitude:34.4614
station longitude:-119.649
model latitude:34.4572
model longitude:-119.6543
model, , , , , , , , , ,obs, , , , , , , , ,
year,month,day,hour,min,sec,model temperature,model rel hum,model wind speed,model wind direction,year,month,day,hour,min,sec,obs temperature,obs rel hum,obs wind speed,obs wind direction
yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N,yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N
2023,1,10,0,0,0,12.984,99.641,4.4201,172.21,2023,1,10,0,0,0,NaN,NaN,NaN,NaN
2023,1,10,1,0,0,12.815,99.9,5.2559,150.12,2023,1,10,0,47,0,12.222,100,7.151,179
2023,1,10,2,0,0,12.806,99.833,5.56,169.27,2023,1,10,1,47,0,12.778,100,5.813,174
2023,1,10,3,0,0,12.895,99.9,6.229,139.8,2023,1,10,2,47,0,12.778,100,3.575,212
2023,1,10,4,0,0,12.981,99.9,4.9808,156.95,2023,1,10,3,47,0,12.778,100,7.151,175
2023,1,10,5,0,0,13.19,99.9,2.7929,208.06,2023,1,10,4,47,0,12.778,100,8.046,172
2023,1,10,6,0,0,13.413,99.9,3.6175,203.24,2023,1,10,5,47,0,12.778,100,5.366,168
2023,1,10,7,0,0,13.325,99.9,1.9397,191.54,2023,1,10,6,47,0,12.778,100,3.128,184
2023,1,10,8,0,0,13.26,99.9,1.9697,161.93,2023,1,10,7,47,0,12.778,100,1.343,165
2023,1,10,9,0,0,13.031,99.9,0.93291,162.27,2023,1,10,8,47,0,12.778,100,4.023,180
2023,1,10,10,0,0,12.535,99.9,2.8796,170.59,2023,1,10,9,47,0,12.778,100,3.575,179
2023,1,10,11,0,0,12.387,99.9,1.3871,181.62,2023,1,10,10,47,0,12.222,100,5.813,180
2023,1,10,12,0,0,12.324,99.9,4.2935,146.59,2023,1,10,11,47,0,12.222,100,5.813,179
2023,1,10,13,0,0,12.032,99.9,3.5212,140.52,2023,1,10,12,47,0,12.222,100,1.79,167
