model forecast and observations from station:mtic1
station latitude:34.4614
station longitude:-119.649
model latitude:34.4572
model longitude:-119.6543
model, , , , , , , , , ,obs, , , , , , , , ,
year,month,day,hour,min,sec,model temperature,model rel hum,model wind speed,model wind direction,year,month,day,hour,min,sec,obs temperature,obs rel hum,obs wind speed,obs wind direction
yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N,yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N
2022,8,28,0,0,0,21.94,69.463,1.9383,225.03,2022,8,28,0,0,0,NaN,NaN,NaN,NaN
2022,8,28,1,0,0,20.207,78.521,1.5649,228.71,2022,8,28,0,47,0,20.556,70,2.233,192
2022,8,28,2,0,0,17.985,89.243,0.67476,209.29,2022,8,28,1,47,0,18.889,75,0,NaN
2022,8,28,3,0,0,16.777,97.43,0.37128,129.2,2022,8,28,2,47,0,17.222,81,0.448,307
2022,8,28,4,0,0,16.364,98.739,0.55076,95.819,2022,8,28,3,47,0,20,64,0,NaN
2022,8,28,5,0,0,16.293,96.57,0.85637,98.206,2022,8,28,4,47,0,20,60,0.895,229
2022,8,28,6,0,0,16.526,93.055,0.49838,88.236,2022,8,28,5,47,0,20,60,0.448,123
2022,8,28,7,0,0,16.817,90.667,0.74912,92.377,2022,8,28,6,47,0,19.444,64,2.233,78
2022,8,28,8,0,0,16.383,93.801,1.1304,91.695,2022,8,28,7,47,0,18.889,63,0.895,91
2022,8,28,9,0,0,16.935,90.976,1.193,92.675,2022,8,28,8,47,0,18.889,66,0.895,86
2022,8,28,10,0,0,16.537,92.953,1.3074,95.705,2022,8,28,9,47,0,17.222,74,0.448,182
2022,8,28,11,0,0,15.935,95.194,1.563,95.642,2022,8,28,10,47,0,17.778,65,0.448,67
2022,8,28,12,0,0,15.47,97.857,1.4783,97.717,2022,8,28,11,47,0,13.333,91,0.895,81
2022,8,28,13,0,0,15.23,99.9,1.2586,100.64,2022,8,28,12,47,0,13.333,99,1.343,187
2022,8,28,14,0,0,15.651,98.529,0.8443,101.92,2022,8,28,13,47,0,13.333,99,0,NaN
2022,8,28,15,0,0,16.451,93.862,0.79946,141.08,2022,8,28,14,47,0,13.333,100,0.895,353
2022,8,28,16,0,0,17.449,89.183,1.0963,155.6,2022,8,28,15,47,0,14.444,100,0.895,148
2022,8,28,17,0,0,18.317,85.155,1.3704,164.9,2022,8,28,16,47,0,15,100,1.343,204
2022,8,28,18,0,0,18.66,83.895,1.3504,170.53,2022,8,28,17,47,0,15.556,99,1.79,208
2022,8,28,19,0,0,19.971,77.777,1.556,181.01,2022,8,28,18,47,0,17.778,83,2.68,203
2022,8,28,20,0,0,20.687,76.003,1.6647,182.12,2022,8,28,19,47,0,20,74,3.575,210
2022,8,28,21,0,0,21.052,74.064,1.8129,186.61,2022,8,28,20,47,0,21.111,69,2.68,200
2022,8,28,22,0,0,20.811,74.494,1.7121,194.09,2022,8,28,21,47,0,22.222,61,3.575,204
2022,8,28,23,0,0,20.652,74.705,1.5004,205.31,2022,8,28,22,47,0,21.667,63,3.128,194
