model forecast and observations from station:mtic1
station latitude:34.4614
station longitude:-119.649
model latitude:34.4572
model longitude:-119.6543
model, , , , , , , , , ,obs, , , , , , , , ,
year,month,day,hour,min,sec,model temperature,model rel hum,model wind speed,model wind direction,year,month,day,hour,min,sec,obs temperature,obs rel hum,obs wind speed,obs wind direction
yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N,yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N
2022,12,31,0,0,0,13.09,95.456,1.3969,270.21,2022,12,31,0,0,0,NaN,NaN,NaN,NaN
2022,12,31,1,0,0,12.564,99.739,1.5637,229.88,2022,12,31,0,47,0,11.111,100,0.448,259
2022,12,31,2,0,0,12.311,99.772,1.1665,250.75,2022,12,31,1,47,0,11.111,100,0.895,326
2022,12,31,3,0,0,12.256,99.9,1.0755,266.48,2022,12,31,2,47,0,11.111,100,0,NaN
2022,12,31,4,0,0,11.483,99.9,1.3425,276.93,2022,12,31,3,47,0,11.111,100,0.448,35
2022,12,31,5,0,0,11.545,99.206,1.7039,278.36,2022,12,31,4,47,0,11.667,100,0.895,269
2022,12,31,6,0,0,11.454,99.9,1.638,275.89,2022,12,31,5,47,0,11.111,100,0.895,193
2022,12,31,7,0,0,11.558,99.265,2.2044,278.5,2022,12,31,6,47,0,11.111,100,1.79,234
2022,12,31,8,0,0,11.864,96.605,1.8951,275.78,2022,12,31,7,47,0,11.111,100,0.448,223
2022,12,31,9,0,0,11.336,99.9,2.0002,267.89,2022,12,31,8,47,0,11.667,100,0.448,329
2022,12,31,10,0,0,11.399,99.9,1.8399,271.32,2022,12,31,9,47,0,11.667,100,0.895,255
2022,12,31,11,0,0,11.989,99.9,1.3807,266.58,2022,12,31,10,47,0,11.667,100,1.79,221
2022,12,31,12,0,0,12.026,99.9,1.556,269.58,2022,12,31,11,47,0,12.222,100,0,NaN
2022,12,31,13,0,0,12.219,99.9,1.2088,251.34,2022,12,31,12,47,0,11.667,100,0,NaN
2022,12,31,14,0,0,12.051,99.9,1.1821,206.72,2022,12,31,13,47,0,11.111,100,1.79,108
2022,12,31,15,0,0,12.03,99.9,0.92511,138.89,2022,12,31,14,47,0,11.111,100,0.895,63
2022,12,31,16,0,0,12.197,99.9,0.72828,171.67,2022,12,31,15,47,0,11.667,100,0.895,178
2022,12,31,17,0,0,12.201,99.87,1.2926,225.55,2022,12,31,16,47,0,11.667,100,0.448,181
