model forecast and observations from station:mtic1
station latitude:34.4614
station longitude:-119.649
model latitude:34.4572
model longitude:-119.6543
model, , , , , , , , , ,obs, , , , , , , , ,
year,month,day,hour,min,sec,model temperature,model rel hum,model wind speed,model wind direction,year,month,day,hour,min,sec,obs temperature,obs rel hum,obs wind speed,obs wind direction
yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N,yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N
2022,10,1,0,0,0,19.981,76.633,1.9155,227.69,2022,10,1,0,0,0,NaN,NaN,NaN,NaN
2022,10,1,1,0,0,18.277,88.421,1.3395,238.15,2022,10,1,0,47,0,20,72,2.233,209
2022,10,1,2,0,0,16.731,97.349,0.70802,238.82,2022,10,1,1,47,0,16.111,91,1.79,196
2022,10,1,3,0,0,16.439,98.024,0.37037,129.99,2022,10,1,2,47,0,15,97,0,NaN
2022,10,1,4,0,0,16.122,99.131,0.71663,112.8,2022,10,1,3,47,0,15,97,0.895,69
2022,10,1,5,0,0,15.96,99.114,0.87779,115.42,2022,10,1,4,47,0,14.444,98,0,NaN
2022,10,1,6,0,0,16.085,97.804,0.89027,99.994,2022,10,1,5,47,0,14.444,100,0.448,96
2022,10,1,7,0,0,16.494,96.669,0.68265,108.1,2022,10,1,6,47,0,13.889,100,0.448,207
2022,10,1,8,0,0,15.524,99.9,0.60531,113.22,2022,10,1,7,47,0,13.889,100,0.895,210
2022,10,1,9,0,0,16.248,96.447,1.0934,95.794,2022,10,1,8,47,0,13.889,100,0,NaN
2022,10,1,10,0,0,16.021,98.129,1.2087,87.867,2022,10,1,9,47,0,13.889,100,1.343,194
2022,10,1,11,0,0,16.005,97.867,1.3043,84.987,2022,10,1,10,47,0,13.889,100,0.448,265
2022,10,1,12,0,0,16.084,96.365,1.4415,76.777,2022,10,1,11,47,0,13.889,100,0,NaN
2022,10,1,13,0,0,15.461,98.092,0.93308,87.822,2022,10,1,12,47,0,13.889,100,1.79,37
2022,10,1,14,0,0,16.008,94.741,1.384,89.676,2022,10,1,13,47,0,13.333,100,1.79,68
2022,10,1,15,0,0,16.29,95.704,0.91801,142.79,2022,10,1,14,47,0,13.333,100,3.128,12
2022,10,1,16,0,0,16.774,95.161,1.1596,145.04,2022,10,1,15,47,0,14.444,98,2.68,71
2022,10,1,17,0,0,16.707,96.115,1.033,160.38,2022,10,1,16,47,0,15,89,1.79,87
2022,10,1,18,0,0,16.91,95.712,1.0385,186.19,2022,10,1,17,47,0,16.667,82,0.895,161
2022,10,1,19,0,0,17.611,91.588,1.0832,197.03,2022,10,1,18,47,0,18.889,73,0.895,241
2022,10,1,20,0,0,19.444,79.432,1.296,183.62,2022,10,1,19,47,0,21.667,60,3.128,204
2022,10,1,21,0,0,19.955,77.158,1.5562,185.37,2022,10,1,20,47,0,21.111,61,3.575,194
2022,10,1,22,0,0,20.045,77.649,1.5988,184.64,2022,10,1,21,47,0,21.111,61,3.575,196
