model forecast and observations from station:mtic1
station latitude:34.4614
station longitude:-119.649
model latitude:34.4572
model longitude:-119.6543
model, , , , , , , , , ,obs, , , , , , , , ,
year,month,day,hour,min,sec,model temperature,model rel hum,model wind speed,model wind direction,year,month,day,hour,min,sec,obs temperature,obs rel hum,obs wind speed,obs wind direction
yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N,yyyy,mm,dd,hh,mm,ss,deg C,%,m/s,deg N
2022,6,9,0,0,0,24.63,52.471,0.85062,329.25,2022,6,9,0,0,0,NaN,NaN,NaN,NaN
2022,6,9,1,0,0,20.792,74.895,1.3502,172.62,2022,6,9,0,47,0,24.444,57,0.448,212
2022,6,9,2,0,0,23.376,56.558,0.93766,306.27,2022,6,9,1,47,0,23.889,58,0.448,167
2022,6,9,3,0,0,24.052,50.374,2.7399,349.32,2022,6,9,2,47,0,23.333,51,2.233,146
2022,6,9,4,0,0,23.936,45.791,2.7132,6.5773,2022,6,9,3,47,0,28.889,16,8.941,17
2022,6,9,5,0,0,26.877,36.542,4.6067,12.884,2022,6,9,4,47,0,28.889,18,11.621,22
2022,6,9,6,0,0,26.685,37.366,4.6711,20.5,2022,6,9,5,47,0,28.333,24,12.069,21
2022,6,9,7,0,0,22.946,54.306,3.1327,32.571,2022,6,9,6,47,0,24.444,42,2.233,341
2022,6,9,8,0,0,22.471,56.353,3.1384,39.125,2022,6,9,7,47,0,16.667,80,1.79,138
2022,6,9,9,0,0,19.032,74.304,2.5794,91.433,2022,6,9,8,47,0,16.667,78,2.233,102
2022,6,9,10,0,0,16.22,92.623,1.8946,108.61,2022,6,9,9,47,0,13.889,96,2.233,108
2022,6,9,11,0,0,15.27,98.838,1.0246,123.22,2022,6,9,10,47,0,13.333,99,1.343,135
2022,6,9,12,0,0,14.704,99.9,0.65315,115.21,2022,6,9,11,47,0,12.778,100,0.895,172
2022,6,9,13,0,0,14.326,99.9,0.31142,103.3,2022,6,9,12,47,0,13.333,100,1.343,28
2022,6,9,14,0,0,15.586,97.176,0.50797,208.08,2022,6,9,13,47,0,15,89,0.895,337
2022,6,9,15,0,0,15.959,96.086,0.80345,217.39,2022,6,9,14,47,0,19.444,72,0.448,123
2022,6,9,16,0,0,17.2,90.571,0.81145,209.24,2022,6,9,15,47,0,17.778,84,1.79,12
